iter	Passed	Remaining
0	16	8153
1	33	8293
2	52	8649
3	70	8789
4	89	8834
5	107	8875
6	132	9328
7	152	9377
8	168	9217
9	188	9260
10	208	9248
11	225	9187
12	246	9242
13	264	9180
14	282	9122
15	301	9123
16	320	9103
17	339	9090
18	357	9038
19	374	8983
20	395	9016
21	412	8957
22	429	8900
23	449	8910
24	466	8870
25	484	8829
26	502	8796
27	519	8764
28	537	8729
29	554	8693
30	574	8694
31	595	8707
32	614	8700
33	633	8684
34	654	8700
35	678	8747
36	696	8711
37	716	8707
38	735	8697
39	753	8670
40	773	8659
41	793	8652
42	810	8617
43	829	8600
44	848	8578
45	866	8550
46	882	8507
47	900	8478
48	917	8448
49	937	8438
50	954	8400
51	971	8373
52	989	8349
53	1006	8315
54	1024	8290
55	1044	8279
56	1062	8257
57	1079	8225
58	1095	8188
59	1114	8169
60	1131	8146
61	1150	8125
62	1167	8098
63	1188	8096
64	1206	8074
65	1225	8057
66	1243	8036
67	1260	8005
68	1278	7988
69	1297	7970
70	1314	7940
71	1333	7925
72	1350	7897
73	1367	7874
74	1389	7873
75	1411	7873
76	1441	7919
77	1459	7896
78	1483	7903
79	1500	7877
80	1518	7856
81	1538	7843
82	1557	7825
83	1574	7798
84	1591	7768
85	1613	7765
86	1629	7736
87	1651	7732
88	1670	7716
89	1693	7712
90	1709	7683
91	1728	7664
92	1747	7648
93	1766	7627
94	1785	7609
95	1803	7589
96	1823	7577
97	1841	7552
98	1861	7539
99	1879	7519
100	1897	7494
101	1916	7477
102	1936	7462
103	1960	7466
104	1978	7442
105	1997	7424
106	2016	7405
107	2033	7380
108	2051	7359
109	2069	7336
110	2087	7315
111	2105	7295
112	2124	7275
113	2141	7249
114	2157	7224
115	2183	7228
116	2203	7213
117	2228	7213
118	2250	7204
119	2277	7211
120	2312	7243
121	2344	7265
122	2369	7263
123	2393	7258
124	2414	7243
125	2435	7229
126	2460	7226
127	2485	7222
128	2505	7206
129	2528	7196
130	2550	7183
131	2575	7178
132	2596	7165
133	2618	7152
134	2640	7138
135	2663	7127
136	2685	7116
137	2709	7106
138	2735	7105
139	2756	7088
140	2777	7070
141	2798	7055
142	2820	7042
143	2841	7025
144	2862	7009
145	2885	6997
146	2907	6981
147	2929	6967
148	2951	6953
149	2974	6940
150	3001	6936
151	3025	6925
152	3045	6906
153	3070	6899
154	3091	6882
155	3116	6871
156	3138	6856
157	3158	6837
158	3182	6826
159	3205	6810
160	3227	6794
161	3252	6785
162	3275	6771
163	3295	6751
164	3318	6737
165	3339	6719
166	3360	6700
167	3383	6687
168	3406	6671
169	3428	6654
170	3452	6642
171	3473	6624
172	3495	6606
173	3519	6593
174	3553	6600
175	3591	6611
176	3621	6608
177	3644	6592
178	3667	6576
179	3689	6558
180	3713	6544
181	3735	6527
182	3757	6508
183	3784	6498
184	3808	6484
185	3829	6465
186	3853	6449
187	3873	6428
188	3897	6413
189	3919	6395
190	3942	6377
191	3964	6359
192	3987	6342
193	4010	6325
194	4032	6306
195	4059	6296
196	4084	6282
197	4105	6261
198	4130	6248
199	4151	6226
200	4173	6208
201	4197	6191
202	4218	6172
203	4242	6156
204	4266	6138
205	4287	6118
206	4314	6106
207	4339	6091
208	4360	6071
209	4383	6054
210	4407	6036
211	4430	6018
212	4456	6005
213	4478	5985
214	4498	5963
215	4525	5949
216	4547	5930
217	4569	5910
218	4593	5893
219	4614	5873
220	4637	5854
221	4664	5840
222	4691	5827
223	4714	5808
224	4737	5789
225	4758	5768
226	4778	5746
227	4803	5730
228	4826	5711
229	4846	5689
230	4869	5670
231	4891	5650
232	4912	5629
233	4936	5611
234	4960	5593
235	4981	5572
236	5005	5554
237	5026	5533
238	5048	5513
239	5070	5493
240	5093	5473
241	5114	5452
242	5136	5432
243	5158	5411
244	5180	5391
245	5204	5374
246	5227	5354
247	5251	5335
248	5272	5315
249	5293	5293
250	5315	5273
251	5340	5255
252	5362	5235
253	5384	5214
254	5406	5194
255	5427	5172
256	5450	5153
257	5472	5133
258	5494	5112
259	5514	5090
260	5538	5071
261	5560	5050
262	5582	5030
263	5604	5010
264	5625	4989
265	5649	4969
266	5671	4949
267	5693	4929
268	5717	4909
269	5741	4890
270	5769	4874
271	5790	4853
272	5813	4834
273	5835	4812
274	5858	4793
275	5879	4772
276	5903	4752
277	5926	4732
278	5949	4712
279	5973	4693
280	5996	4673
281	6017	4652
282	6038	4630
283	6063	4611
284	6084	4590
285	6107	4570
286	6130	4549
287	6150	4527
288	6180	4512
289	6200	4489
290	6220	4467
291	6244	4448
292	6266	4427
293	6290	4407
294	6311	4385
295	6331	4363
296	6355	4343
297	6378	4323
298	6400	4302
299	6425	4283
300	6445	4261
301	6469	4241
302	6490	4219
303	6511	4198
304	6535	4178
305	6555	4156
306	6578	4135
307	6600	4114
308	6623	4093
309	6648	4074
310	6675	4056
311	6695	4034
312	6718	4013
313	6739	3992
314	6760	3970
315	6781	3948
316	6804	3928
317	6824	3906
318	6846	3884
319	6868	3863
320	6890	3842
321	6911	3820
322	6935	3800
323	6956	3778
324	6979	3758
325	7002	3737
326	7023	3715
327	7045	3694
328	7068	3673
329	7089	3652
330	7111	3630
331	7132	3609
332	7152	3587
333	7173	3565
334	7195	3544
335	7217	3522
336	7238	3501
337	7260	3479
338	7283	3459
339	7308	3439
340	7333	3419
341	7354	3397
342	7375	3376
343	7399	3355
344	7420	3333
345	7442	3312
346	7468	3293
347	7489	3271
348	7509	3248
349	7532	3228
350	7554	3206
351	7575	3185
352	7598	3164
353	7619	3142
354	7641	3121
355	7665	3100
356	7685	3078
357	7707	3057
358	7732	3036
359	7753	3015
360	7776	2994
361	7797	2972
362	7817	2950
363	7839	2929
364	7866	2909
365	7885	2887
366	7906	2865
367	7929	2844
368	7951	2822
369	7972	2801
370	7994	2779
371	8015	2757
372	8035	2736
373	8058	2714
374	8079	2693
375	8100	2671
376	8124	2650
377	8144	2628
378	8164	2606
379	8186	2585
380	8208	2563
381	8230	2542
382	8251	2520
383	8275	2499
384	8295	2477
385	8316	2456
386	8338	2434
387	8359	2413
388	8382	2391
389	8406	2371
390	8427	2349
391	8449	2328
392	8472	2306
393	8493	2285
394	8514	2263
395	8537	2242
396	8557	2220
397	8579	2198
398	8600	2176
399	8622	2155
400	8645	2134
401	8668	2113
402	8688	2091
403	8711	2069
404	8732	2048
405	8755	2027
406	8778	2005
407	8799	1984
408	8819	1962
409	8842	1940
410	8862	1919
411	8883	1897
412	8907	1876
413	8933	1855
414	8952	1833
415	8975	1812
416	8996	1790
417	9019	1769
418	9040	1747
419	9062	1726
420	9084	1704
421	9107	1683
422	9128	1661
423	9150	1640
424	9171	1618
425	9194	1597
426	9216	1575
427	9238	1554
428	9260	1532
429	9281	1510
430	9304	1489
