date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,rain_tomorrow,sin_doy,cos_doy,sin_woy,cos_woy,precipitation_roll3_mean,precipitation_roll3_std,pressure_roll3_mean,pressure_roll3_std,cloud_cover_roll3_mean,cloud_cover_roll3_std
1979-01-01,2.0,7.0,52.0,2.3,-4.1,-7.5,0.4,101900.0,9.0,0,0.017213356155834685,0.9998518392091165,0.12053668025532306,0.9927088740980538,0.4,0.0,101900.0,0.0,2.0,0.0
1979-01-02,6.0,1.7,27.0,1.6,-2.6,-7.5,0.0,102530.0,8.0,0,0.03442161162274574,0.999407400739705,0.12053668025532306,0.9927088740980538,0.2,0.28284271247461906,102215.0,445.47727214752496,4.0,2.8284271247461903
1979-01-03,5.0,0.0,13.0,1.3,-2.8,-7.2,0.0,102050.0,4.0,0,0.051619667223253764,0.998666816288476,0.12053668025532306,0.9927088740980538,0.13333333333333333,0.23094010767585033,102160.0,329.0896534380867,4.333333333333333,2.081665999466133
1979-01-04,8.0,0.0,13.0,-0.3,-2.6,-6.5,0.0,100840.0,2.0,0,0.06880242680231986,0.9976303053065857,0.12053668025532306,0.9927088740980538,0.0,0.0,101806.66666666667,870.8807802066463,6.333333333333333,1.5275252316519472
1979-01-05,6.0,2.0,29.0,5.6,-0.8,-1.4,0.0,102250.0,1.0,1,0.08596479873744647,0.9962981749346076,0.12053668025532306,0.9927088740980538,0.0,0.0,101713.33333333333,762.9110913686741,6.333333333333333,1.5275252316519472
1979-01-06,5.0,3.8,39.0,8.3,-0.5,-6.6,0.7,102780.0,1.0,1,0.10310169744743486,0.9946708199115208,0.12053668025532306,0.9927088740980538,0.2333333333333333,0.404145188432738,101956.66666666667,1002.7129865187432,6.333333333333333,1.5275252316519472
1979-01-07,8.0,0.0,13.0,8.5,1.5,-5.3,5.2,102520.0,0.0,1,0.1202080448993527,0.9927487224577399,0.12053668025532306,0.9927088740980538,1.9666666666666668,2.8219378684395826,102516.66666666667,265.0157228040123,6.333333333333333,1.5275252316519472
1979-01-08,8.0,0.1,15.0,5.8,6.9,5.3,0.8,101870.0,0.0,1,0.13727877211326478,0.9905324521322226,0.23931566428755782,0.9709418174260521,2.2333333333333334,2.5696951829610715,102390.0,468.7216658103173,7.0,1.7320508075688779
1979-01-09,4.0,5.8,50.0,5.2,3.7,1.6,7.2,101170.0,0.0,1,0.15430882066428114,0.9880226656636975,0.23931566428755782,0.9709418174260521,4.3999999999999995,3.27414110874898,101853.33333333333,675.1543033509671,6.666666666666667,2.3094010767585034
1979-01-10,7.0,1.9,30.0,4.9,3.3,1.4,2.1,98700.0,0.0,1,0.17129314418147762,0.9852201067560606,0.23931566428755782,0.9709418174260521,3.3666666666666667,3.3827996294982254,100580.0,1665.3227915332193,6.333333333333333,2.0816659994661335
1979-01-11,1.0,6.8,55.0,2.9,2.6,0.3,2.3,98960.0,0.0,0,0.18822670984324424,0.9821256058680006,0.23931566428755782,0.9709418174260521,3.8666666666666667,2.888482877451991,99610.0,1357.2398461583693,4.0,3.0000000000000004
1979-01-12,3.0,6.4,54.0,2.0,0.4,-2.0,0.0,100650.0,1.0,0,0.20510449986861923,0.9787400799669153,0.23931566428755782,0.9709418174260521,1.4666666666666668,1.2741009902410914,99436.66666666667,1058.788615982115,3.6666666666666665,3.0550504633038935
