iter	Accuracy	MultiClass
0	0.87772895	1.185702186
1	0.892875059	1.026876577
2	0.9095865827	0.9120863756
3	0.9110577923	0.8169782999
4	0.9212295965	0.7338780067
5	0.9290807983	0.6602288246
6	0.9336617692	0.5995900372
7	0.931525266	0.5501421766
8	0.9369101189	0.5093744816
9	0.9372995991	0.470051864
10	0.9452205625	0.4364117206
11	0.9456183499	0.4058852324
12	0.948287375	0.3776851689
13	0.9495641442	0.3541388234
14	0.9508344975	0.3325871376
15	0.9527305712	0.3142185025
16	0.9536446729	0.2968544745
17	0.9557909678	0.2809254952
18	0.9550625925	0.2664236867
19	0.9570934007	0.2533212742
20	0.9589796829	0.2408216071
21	0.9594929569	0.2309267122
22	0.9588706121	0.2200567622
23	0.9596405232	0.2096972559
24	0.9607889739	0.2010822026
25	0.9619913855	0.1936946264
26	0.962119704	0.1864489515
27	0.961835512	0.1801169402
28	0.9629903786	0.1738579182
29	0.9637474579	0.1693988974
30	0.9641388293	0.1643444815
31	0.9651525456	0.1604406033
32	0.9654027667	0.1556857995
33	0.9668670822	0.1514591291
34	0.9675022588	0.1482491244
35	0.9679751461	0.1441309203
36	0.9681034646	0.1402709791
37	0.9686103227	0.1373017186
38	0.9684884201	0.1343833681
39	0.9693802338	0.131992947
40	0.9695149683	0.1297071443
41	0.970116174	0.1275253735
42	0.9710079877	0.1259516508
43	0.9710144036	0.1239267816
44	0.9712774566	0.1217898225
45	0.9715340936	0.1199800526
46	0.9720473677	0.1181287832
47	0.9720409517	0.1165381043
48	0.9722911728	0.1150266519
49	0.9718182856	0.1135335397
50	0.9724259073	0.1120051612
51	0.973033529	0.1104130289
52	0.9736622897	0.1089128919
53	0.9735339712	0.1074816572
54	0.9735064163	0.1058537303
55	0.9734120686	0.1047098134
56	0.9739189267	0.1032958324
57	0.9741691478	0.1020852765
58	0.9744257849	0.1013407636
59	0.9746824219	0.1003980717
60	0.97518928	0.09940923551
61	0.9756557514	0.09813762611
62	0.9764256624	0.09731242626
63	0.9766630517	0.09640371209
64	0.9768921338	0.09525549642
65	0.9769800655	0.09386282125
66	0.9769800655	0.09327228835
67	0.9777435606	0.09264598959
68	0.9778782951	0.0918275298
