iter	Passed	Remaining
0	12	6067
1	17	4440
2	22	3697
3	26	3314
4	31	3093
5	36	3030
6	41	2923
7	45	2816
8	51	2793
9	55	2739
10	60	2684
11	65	2651
12	70	2642
13	74	2595
14	79	2569
15	85	2589
16	90	2561
17	94	2526
18	100	2539
19	105	2521
20	109	2496
21	115	2509
22	121	2515
23	125	2491
24	131	2489
25	136	2481
26	140	2466
27	146	2476
28	151	2468
29	156	2447
30	161	2443
31	166	2441
32	171	2428
33	176	2414
34	182	2419
35	186	2405
36	192	2402
37	199	2423
38	203	2410
39	208	2396
40	214	2400
41	219	2398
42	224	2384
43	230	2387
44	235	2379
45	239	2368
46	246	2374
47	251	2365
48	255	2350
49	261	2349
50	267	2351
51	271	2343
52	277	2341
53	282	2331
54	286	2318
55	292	2316
56	298	2317
57	302	2305
58	307	2301
59	312	2293
60	317	2282
61	321	2270
62	327	2274
63	333	2271
64	337	2260
65	344	2263
66	348	2253
67	352	2241
68	359	2245
69	363	2235
70	368	2225
71	373	2222
72	378	2215
73	383	2205
74	387	2195
75	393	2197
76	398	2187
77	402	2179
78	408	2178
79	413	2173
80	418	2164
81	423	2161
82	428	2153
83	432	2142
84	437	2135
85	442	2132
86	447	2122
87	451	2113
88	457	2111
89	461	2102
90	466	2096
91	472	2094
92	476	2086
93	481	2079
94	486	2075
95	491	2069
96	496	2062
97	500	2054
98	507	2054
99	511	2046
100	516	2039
101	521	2036
102	526	2028
103	530	2020
104	536	2017
105	541	2014
106	546	2008
107	552	2004
108	557	1998
109	561	1991
110	567	1987
111	573	1985
112	577	1976
113	581	1969
114	587	1966
115	591	1959
116	596	1952
117	602	1949
118	606	1942
119	611	1935
120	616	1931
121	621	1924
122	625	1916
123	629	1909
124	636	1908
125	640	1901
126	644	1894
127	651	1892
128	656	1888
129	661	1881
130	666	1878
131	671	1871
132	675	1863
133	680	1858
134	685	1854
135	690	1847
136	694	1840
137	701	1838
138	705	1833
139	710	1827
140	716	1824
141	720	1817
142	725	1811
143	730	1806
144	735	1800
145	740	1794
146	745	1789
147	750	1785
148	755	1778
149	759	1771
150	773	1787
151	779	1784
152	783	1777
153	788	1770
154	792	1764
155	798	1761
156	803	1754
157	807	1748
158	813	1743
159	818	1738
160	822	1732
161	828	1728
162	833	1722
163	837	1715
164	841	1709
165	847	1704
166	851	1698
167	856	1692
168	862	1690
169	867	1683
170	871	1677
171	876	1672
172	881	1666
173	886	1660
174	890	1653
175	896	1649
176	900	1644
177	905	1637
178	911	1635
179	916	1629
180	920	1622
181	927	1619
182	932	1614
183	936	1607
184	941	1603
185	946	1597
186	950	1591
187	957	1588
188	962	1583
189	966	1577
190	971	1571
191	976	1566
192	981	1561
193	986	1555
194	993	1553
195	997	1547
196	1002	1541
197	1007	1536
198	1012	1531
199	1016	1524
200	1021	1520
201	1027	1515
202	1031	1509
203	1036	1503
204	1043	1501
205	1047	1495
